name,location,price
new house for sale,"bhangal,budhanilkantha,lalitpur",29000000.0
"house for sale at taukhel, lalitpur","taukhel,godawari,lalitpur",42000000.0
dhumbarahi 8 bhk residential house on sale,"dhumbarahi,dhumbarahi ring road,kathmandu",57000000.0
"ready to move in residential 7bhk house ""for sale"" at balaju height, inside ramailo tole","balaju height,kathmandu,kathmandu",41500000.0
"residential house ""for sale"" at basundhara, shrijansil tole.","basundhara,kathmandu,kathmandu",39500000.0
"residential & commercial bungalow house ""for sale"" at balkhu","balkhu,kathmandu,kathmandu",107000000.0
"ready to move in 3bhk bungalow house ""for sale"" at tallo bhangal, budanilkantha.","budanilkantha,kathmandu,kathmandu",50000000.0
"residential cum commercial bungalow house is ""for sale"" at samakhusi,tokha road.","samakhusi,tokha road,kathmandu",115000000.0
"bungalow houses are ""for sale"" at sitapaila, elite colony","sitapaila, elite colony,sitapaila chowk,kathmandu",48000000.0
"brand new an attractive bungalow houses are ""for sale"" at budanilkantha, nearby tapes resort.","budanilkantha, nearby tapes resort.,budanilkantha,kathmandu",37000000.0
"residential cum commercial bungalow house is for sale at samakhusi,tokha road","samakhusi,tokha,kathmandu,kathmandu",115000000.0
"residential 3.5 storey non furnished house is for sale at golfutar,mahankal near by valley public sc...","golfutar, mahankal  near by valley public school.,kathmandu,kathmandu",39500000.0
"residential 3 bhk bunglow house for sale at bhainsepati, inside bhainsepati colony.","bhainsepati,kathmandu,kathmandu",31500000.0
"beautiful 5bhk 2.5 storey bunglow house is "" for sale "" at budhanilkhantha,inside shahi road.","budhanilkhantha,inside shahi road.,kathmandu,kathmandu",85000000.0
"semi-furnished 6 bhk bungalow house is ""𝗙𝗢𝗥 𝗦𝗔𝗟𝗘"" at balkumari, imadole.","lalitpur,balkumari, imadole.,kathmandu",55000000.0
"luxurious semi-bungalow moder residential house for sale at bhaktapur, ghadedhara tole.","katunje,gade-dhara tole,bhaktapur",29500000.0
"residential semi-furnished 5bhk house is ""𝗙𝗢𝗥 𝗦𝗔𝗟𝗘"" at taukhel, lalitpur.","taukhel,godawari,godawari,kathmandu",25000000.0
house on sale at bhaisepati near big mart.,"talim kendra road,bhaisepati,kathmandu",85000000.0
"residential 3.5 storey house is for sale dhungedhara, banasthali.","banasthali,dhungedhara,kathmandu",34000000.0
"luxury villa for sale @ thecho just nearby cg the villa housing, thecho 𝑯𝒆𝒊𝒈𝒉𝒕.","thecho,sunakothi,lalitpur",85000000.0
bungalo on sale at sunakothi lalitpur,"villa sunakothi,sunakothi,lalitpur",32500000.0
