name,symbol,price_usd,change,volume_M,market_cap_B,pe_ratio
"Tesla, Inc.",TSLA,298.26,13.44,132.388,3.231,
"Lucid Group, Inc.",LCID,2.51,0.2,161.547,7.656,
NVIDIA Corporation,NVDA,116.65,-0.72,132.972,2846.0,39.68
"Tesla, Inc.",TSLA,298.26,13.44,132.388,960.684,169.47
"Lyft, Inc.",LYFT,16.65,3.65,107.486,6.999,111.0
"MARA Holdings, Inc.",MARA,15.76,1.47,86.525,5.546,
Palantir Technologies Inc.,PLTR,117.3,-1.85,81.005,276.817,510.0
Ford Motor Company,F,10.43,0.15,71.831,41.475,8.34
Itaú Unibanco Holding S.A.,ITUB,6.61,0.39,64.222,62.452,10.02
"Hims & Hers Health, Inc.",HIMS,51.96,0.56,59.571,11.63,76.41
Banco Bradesco S.A.,BBD,2.72,0.02,61.698,26.203,9.38
American Airlines Group Inc.,AAL,11.11,0.08,59.559,7.327,11.11
"Rigetti Computing, Inc.",RGTI,10.58,0.27,58.546,3.036,
B2Gold Corp.,BTG,3.14,0.12,56.54,4.149,
"SoFi Technologies, Inc.",SOFI,13.18,-0.08,53.262,14.569,30.65
Intel Corporation,INTC,21.42,0.42,51.769,93.434,
BlackBerry Limited,BB,3.81,0.01,50.926,2.275,
"Rivian Automotive, Inc.",RIVN,14.26,0.58,50.581,16.348,
"CleanSpark, Inc.",CLSK,9.2,0.52,49.846,2.585,
"The Trade Desk, Inc.",TTD,71.04,11.14,48.904,34.921,86.63
"Robinhood Markets, Inc.",HOOD,54.65,0.58,44.195,48.227,31.23
"Pinterest, Inc.",PINS,29.22,1.36,42.07,19.771,10.74
"SoundHound AI, Inc.",SOUN,8.98,-0.76,43.038,3.597,
Lloyds Banking Group plc,LYG,3.89,0.02,43.072,58.318,11.79
Sprott Physical Silver Trust,PSLV,10.98,0.11,40.588,5.709,6.65
Pfizer Inc.,PFE,22.28,-0.26,38.96,126.67,16.14
Nu Holdings Ltd.,NU,12.83,0.03,38.631,61.823,32.08
Transocean Ltd.,RIG,2.61,0.11,38.179,2.305,
